,country,taster_name,description,designation,points,price,province,region_1,region_2,taster_twitter_handle,title,variety,winery
238,Australia,Joe Czerwinski,"The sort of wine one imagines early Australian settlers gulped down—big and burly in the mouth and a bit warm, rough and dusty on the finish. Hints of mint-accented cherry fruit and earthy notes.",The Derelict Vineyard,85,29,South Australia,McLaren Vale,,@JoeCz,D'Arenberg 2006 The Derelict Vineyard Grenache (McLaren Vale),Grenache,D'Arenberg
240,France,Roger Voss,"Dominated by Ugni Blanc, the grape also used in the local Armagnac brandy, this is a tight, crisp wine, green but not unpleasantly so. Its acidity comes from fresh apple flavors, touched with some good juiciness and a fine refreshing finish. Screwcap.",,85,9,Southwest France,Vin de Pays des Côtes de Gascogne,,@vossroger,Domaine du Tariquet 2007 Ugni Blanc-Colombard (Vin de Pays des Côtes de Gascogne),Ugni Blanc-Colombard,Domaine du Tariquet
244,Spain,Michael Schachner,"Simple but well-maded wine with aromas of chewing gum, cherry and blackberry. It's a plump, sort of grabby red with sweet raspberry and chocolate flavors followed by a creamy, soft finish. Not much complexity but good fruit and depth. Not the least bit hard to drink. Good mass wine.",Herederos de François Lurton Villafrance de Duero,85,13,Northern Spain,Vino de la Tierra de Castilla y León,,@wineschach,J. & F. Lurton 2007 Herederos de François Lurton Villafrance de Duero Red (Vino de la Tierra de Castilla y León),Red Blend,J. & F. Lurton
245,Argentina,Michael Schachner,"Not exactly a world-class white wine but at least it smells and tastes like Chardonnay. The nose offers some butter and lemon curd, while the palate is jumpy and tastes like a mix of pear, apple and spice. A fresh, young wine that should be drunk soon.",Reserve,85,12,Other,San Juan,,@wineschach,Finca Las Moras 2007 Reserve Chardonnay (San Juan),Chardonnay,Finca Las Moras
248,US,Paul Gregutt,"This seems as if it was assembled from lesser barrels. It's pleasant, very light, simple and tart; the dominant flavor is cranberry juice.",Estate Single Vineyard,85,45,Oregon,Willamette Valley,Willamette Valley,@paulgwine ,Amity 2006 Estate Single Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Amity
251,US,Paul Gregutt,"Spicy and tannic, this inexpensive Pinot from Cherry Hill opens with earthy fruit and leaf flavors—tomato and herb dominate, with just a suggestion of berry. There isn't much in the way of ripeness here, to either fruit or tannins.",Papillon Estate,85,22,Oregon,Willamette Valley,Willamette Valley,@paulgwine ,Cherry Hill 2006 Papillon Estate Pinot Noir (Willamette Valley),Pinot Noir,Cherry Hill
253,Argentina,Michael Schachner,"Huge in color and extract, but also a little childish. The nose has gumball, berry jam and a touch of volatility, but after things settle it rests on bold black fruit. It's not overly rich or sweet, and the feel is sort of sinewy. Seems more about size and color than refinement and polish.",Reserve,85,15,Mendoza Province,Luján de Cuyo,,@wineschach,Cueva de las Manos 2007 Reserve Malbec (Luján de Cuyo),Malbec,Cueva de las Manos
255,US,Virginie Boone,"Esterlina's Pinot is very perfumey, light in body and soul at first, as it gathers steam with a tasty backbone of lush red fruit, spice and plenty of staying power over a meal.",Reserva,89,55,California,Cole Ranch,,@vboone,Esterlina 2009 Reserva Pinot Noir (Cole Ranch),Pinot Noir,Esterlina
256,South Africa,Lauren Buzzeo,"A good value, this is an easy-pleasing Syrah with vibrant notes of red plum, cherry and blueberry. Fine, dusty tannins reminiscent of cocoa powder and dried crushed berries stay after swallow alongside a hint of sweet smoke flavor.",Goat-Roti,89,20,Coastal Region,,,@laurbuzz,Goats do Roam Wine Co. 2008 Goat-Roti Syrah-Viognier (Coastal Region),Syrah-Viognier,Goats do Roam Wine Co.
257,South Africa,Lauren Buzzeo,"This approachable Cabernet-based blend, which also has 18% Pinotage, 11% Cab Franc and 2% Shiraz, is a spicy and balanced red with notes of menthol, purple florals, black cherry and berry. With a mouthfeel like crushed velvet, a black pepper finish and an attractive price tag, it's a shame only 100 cases were produced.",The William,89,18,Coastal Region,,,@laurbuzz,Graham Beck 2007 The William Red (Coastal Region),Red Blend,Graham Beck
258,South Africa,Lauren Buzzeo,"This wine strikes a superb balance between herbaceous, green notes and ripe black fruit, all graced with a kiss of sweet vanilla. Rich blackberry and cassis flavors flood the palate, but then transition to sweet smoke and oak flavors on the finish.",,89,35,Stellenbosch,,,@laurbuzz,Hartenberg 2007 Cabernet Sauvignon (Stellenbosch),Cabernet Sauvignon,Hartenberg
259,France,Roger Voss,"Tannic yet balanced wine with a great swathe of perfumed fruit as well as dense black flavors. There is a herbal character as well as dark plum and sweet fruit flavors. Age for 2–3 years, the wine will always be firm.",Noir 46,89,13,Southwest France,Cahors,,@vossroger,Vignobles 46N118 2007 Noir 46 Malbec (Cahors),Malbec,Vignobles 46N118
260,US,Paul Gregutt,"Young, tart and wrapped up tight as a drum, this offers sharp flavors of cranberry and a bit of Campari. It has the heft and polish to open up further with some additional bottle age, but it isn't budging at the moment.",Estate,89,40,Oregon,Willamette Valley,Willamette Valley,@paulgwine ,Willamette Valley Vineyards 2009 Estate Pinot Noir (Willamette Valley),Pinot Noir,Willamette Valley Vineyards
261,Argentina,Michael Schachner,"A blend of 50% Malbec with Cabernet, Syrah and Merlot that's lightly minty and full of tobacco, pepper and spicy aromas. Feels a bit clampy and tannic, with oaky, herbal flavors of plum and sweet berry. Shows a hint of green and drying tannins on the finish.",Estate Blend Gran Reserva,89,37,Mendoza Province,,,@wineschach,Algodon 2008 Estate Blend Gran Reserva Red,Red Blend,Algodon
262,US,Virginie Boone,"Beaver Creek makes a variation of Fairytale every vintage and this one, sourced from Napa Valley, is 41% Merlot, 36% Zinfandel and 23% Syrah, a mix that seems to work very nicely here. The wine's Zin almost tastes as if it has mountain tannins; the wine is overall herbal and earthy, ripe and sturdy with balanced fruit.",Fairytale,89,39,California,Napa Valley,Napa,@vboone,Beaver Creek 2008 Fairytale Red (Napa Valley),Red Blend,Beaver Creek
264,South Africa,Lauren Buzzeo,"A good amount of earthy spice, tea leaves and forrest floor lead the way on the nose, but the black cherry and berry fruit aromas follow shortly after with an additional accent of sweet cured meat. Medium weight and lush, the creamy mouth transitions into a finish loaded with sweet spice and bittersweet cocoa.",,89,19,Stellenbosch,,,@laurbuzz,Jardin 2007 Syrah (Stellenbosch),Syrah,Jardin
265,South Africa,Lauren Buzzeo,"Fairly intense and flavorful, this Chard expresses assertive aromas and flavors of wood-grilled peaches, buttercream frosting, lemon custard and toasted brioche. Medium weight in the mouth with good balance and a touch of baking spice on the close.",Nine Yards,89,40,Stellenbosch,,,@laurbuzz,Jardin 2009 Nine Yards Chardonnay (Stellenbosch),Chardonnay,Jardin
266,Argentina,Michael Schachner,"For an under-$15 red blend, Corte has it going on. It's rich and full, almost syrupy on the nose, with lots of oak, ink and vanilla. Shows power and packs a punch, with dark berry, chocolate and spicy flavors. A little tannic and scratchy, but with structure and framework to spare. Malbec (80%), with Bonarda and Petit Verdot.",Corte Malbec-Bonarda-Petit Verdot,89,14,Mendoza Province,Mendoza,,@wineschach,Kaiken 2008 Corte Malbec-Bonarda-Petit Verdot Red (Mendoza),Red Blend,Kaiken
269,Austria,Roger Voss,"Smooth and ripe, this is a rich black-fruited wine, its tannins comfortably ensconsed in a rich cushion. There is acidity to balance and spice which, along with the full-bodied fruit character, makes the wine ready to drink now.",,89,17,Leithaberg,,,@vossroger,Mariell 2009 Blaufränkisch (Leithaberg),Blaufränkisch,Mariell
271,Greece,Susan Kostrzewa,"Lively aromas of lemon, grapefruit and melon start this white from Greece. Flavors of grapefruit and lemon rind are fresh and crisp but still offer dimension. The finish is spicy and clean. A great food wine: pair with grilled fish or clams.",,89,15,Santorini,,,@suskostrzewa,My Big Fat Greek Wine 2010 Assyrtico (Santorini),Assyrtico,My Big Fat Greek Wine
273,Argentina,Michael Schachner,"Leather, berry, earth, raisin and roasted qualities define the nose on this Tempranillo-led blend of four grapes. Feels good in the mouth, with active raspberry, plum and coffee flavors that comes with a roasted accent. Mildly leafy, baked and woody on the thorough finish.",B Crux,89,19,Mendoza Province,Uco Valley,,@wineschach,O. Fournier 2007 B Crux Red (Uco Valley),Red Blend,O. Fournier
275,Argentina,Michael Schachner,"A medium-weight Cabernet with plum, prune, tobacco and herb aromas. Features average weight and body, with a creamy texture and layered flavors of black fruit, raspberry and spice. Finishes with herb and plum notes as well as a pinch of tobacco.",Reserva de Familia,89,30,Mendoza Province,Mendoza,,@wineschach,Sottano 2009 Reserva de Familia Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Sottano
278,US,Paul Gregutt,"Fruity, forward and quite refreshing, this has appealing black cherry fruit with a light candy flavor. The balancing tannins add sufficient depth and weight to allow this a few more years in the cellar.",Bishop Creek,89,50,Oregon,Willamette Valley,,@paulgwine ,Erath 2009 Bishop Creek Pinot Noir,Pinot Noir,Erath
280,Austria,Roger Voss,"A strongly spicy, rich wine, this has great concentration and an intense, dense texture.There is weight with plenty of ripe tropical fruits to contrast pronounced black pepper and bitter almond character. It's still young, so don't drink before 2015. Screwcap.",Schiefer Reserve,92,24,Kremstal,,,@vossroger,Forstreiter 2012 Schiefer Reserve Grüner Veltliner (Kremstal),Grüner Veltliner,Forstreiter
282,Italy,Kerin O’Keefe,"This delicious blend of Cabernet Sauvignon, Merlot and Petit Verdot opens with an intense, brooding fragrance of dark fruit, spice and leather. The palate delivers a concentrated black-cherry flavor that's framed by big, chewy tannins and  punctuated by spicy accents of white and black pepper, licorice and pipe. Drink 2015–2024.",Dulcamara,92,41,Tuscany,Toscana,,@kerinokeefe,I Giusti e Zanza 2009 Dulcamara Red (Toscana),Red Blend,I Giusti e Zanza
283,US,Paul Gregutt,"Bella Vida replaces the Abbey Ridge bottling and does so with pizzazz. The best of the 2011 releases, this is a beautiful expression of grapes grown on red clay soils, with refined, deeply penetrating flavors of ripe raspberries. Smooth, supple and long, with uncommon purity, it finishes with a kiss of chocolate from 18 months in one-quarter new oak barrels.",Bella Vida Vineyard Unfiltered,92,52,Oregon,Dundee Hills,Willamette Valley,@paulgwine ,J. Christopher 2011 Bella Vida Vineyard Unfiltered Pinot Noir (Dundee Hills),Pinot Noir,J. Christopher
284,Argentina,Michael Schachner,"This huge Malbec defines jammy and concentrated. The bouquet is ripe, soft and minty, while the palate echoes the nose with thickness and density. Flavors of prune, raisin, tea and blackberry are borderline syrupy, while the finish is smooth and pure but doesn't offer much spine or foundation. Drink this modern Malbec sooner rather than later.",Marchiori Vineyard Block C2,92,215,Mendoza Province,Perdriel,,@wineschach,Viña Cobos 2011 Marchiori Vineyard Block C2 Malbec (Perdriel),Malbec,Viña Cobos
285,Austria,Roger Voss,"This is a very aromatic wine that's rich, spicy and with just a touch of ripeness. It has spiced pear, lychee and honey notes all balanced by a wonderful fresh acidity. Drink now and until 2020. Screwcap.",Steiner Kögl Erste Lage,92,,Kremstal,,,@vossroger,Salomon-Undhof 2011 Steiner Kögl Erste Lage Riesling (Kremstal),Riesling,Salomon-Undhof
287,Spain,Michael Schachner,"This is the stud in the Acústic stable. A blend of 70% Carignan and 30% Garnacha, Braó is lively and bright on the nose, with ripe blackberry and cassis aromas. The palate is concentrated and juicy, with fine balance and bold flavors of blueberry, blackberry and coffee. A toasty, dark finish features chocolate, toast and minerality. Drink through 2019.",Braó Vinyes Velles,92,40,Catalonia,Montsant,,@wineschach,Acústic 2010 Braó Vinyes Velles Carignan-Grenache (Montsant),Carignan-Grenache,Acústic
288,Austria,Roger Voss,"While it feels rich and round, this is also a wine with a crisp side to it. Acidity cuts through ripe pear, apricot and lychee flavors, giving a decidedly crisp balance. It's a wine that is already ready to drink. Screwcap.",Kremser Gebling Erste Lage,92,,Kremstal,,,@vossroger,Josef Schmid 2011 Kremser Gebling Erste Lage Grüner Veltliner (Kremstal),Grüner Veltliner,Josef Schmid
290,France,Roger Voss,"This is a wine that has great potential—you can tell from the firm tannins, tight acidity and closed texture. Initially, black currant flavors are touched with dark, dusty notes, but they finish with more juicy character on the afterntaste. Drink from 2017.",,92,,Bordeaux,Saint-Estèphe,,@vossroger,Château Lafon-Rochet 2011  Saint-Estèphe,Bordeaux-style Red Blend,Château Lafon-Rochet
291,Italy,Kerin O’Keefe,"This powerful Sagrantino opens with aromas of meat juice, truffle and black fruit. The palate offers blackberry, black cherry, cinnamon and black pepper, along with tobacco notes. It also has Sagrantino's trademark tannic backbone, but the tannins are ripe and are balanced by bright acidity.",,92,,Central Italy,Sagrantino di Montefalco,,@kerinokeefe,Dionigi 2006  Sagrantino di Montefalco,Sagrantino,Dionigi
292,France,Roger Voss,"Rich almonds, ripe peaches and a smoky, oxidized character all come together in this ripe, complex, fascinating wine. There is a great tang of apple acidity on the finish. Drink now.",Vin Jaune,92,45,France Other,Arbois,,@vossroger,Domaine Daniel Dugois 2006 Vin Jaune Savagnin (Arbois),Savagnin,Domaine Daniel Dugois
293,Australia,Joe Czerwinski,"This wine displays ample concentration in its inky color and potent aromas of dark berry fruit. There's a hint of raisining as well. In the mouth, it's mouthfilling but lacks a bit of texture; the flavors include dark plums, vanilla and hints of dried fruits, like figs and dates. With a finish that calls to mind chocolate fudge (minus the sugar), opt for drinking this wine over the relatively near term, now to 2020.",Green's Vineyard,92,70,South Australia,Barossa Valley,,@JoeCz,Kilikanoon 2009 Green's Vineyard Shiraz (Barossa Valley),Shiraz,Kilikanoon
294,Argentina,Michael Schachner,"Deep, lush aromas of black fruits, graphite and coconut are welcoming and friendly. The mouthfeel is pure and smooth, with elegance and power. Flavors of cassis, blackberry, hard spices and licorice filter into a long, mellow, classy finish. This is a pushy, full-bodied wine that doesn't throw punches; drink through 2020.",Synthesis,92,30,Mendoza Province,Tupungato,,@wineschach,Finca Sophenia 2011 Synthesis Malbec (Tupungato),Malbec,Finca Sophenia
301,US,Paul Gregutt,"A good, clean, tart and lightly spicy all-stainless style. Cool climate fruit puts the accent on lime and lemon flavors, keeps the alcohol low (13.3%), and makes this a fine match to shellfish, white fish and light pasta dishes.",Whiteline No Oak,87,14,Washington,Columbia Valley (WA),Columbia Valley,@paulgwine ,Buried Cane 2009 Whiteline No Oak Chardonnay (Columbia Valley (WA)),Chardonnay,Buried Cane
305,US,Virginie Boone,"Muted at first, this wine opens up nicely with time. Sweet, ripe and easy on the finish, its core is full of black pepper and clove. The grapes are sourced from several distinctive vineyards in Mendocino County. Drink it with a steak.",,87,24,California,Mendocino County,,@vboone,Claudia Springs 2007 Zinfandel (Mendocino County),Zinfandel,Claudia Springs
306,Romania,Anna Lee C. Iijima,"Fragrant on the nose with fresh orange, lemon and honeysuckle aromas, this full-bodied Chard is deliciously quaffable with a concentrated apple palate and just a hint of buttered toast. Another well-made Romanian at an unbeatable bargain price.",,87,7,Recas,,,,Cramele Recas 2009 Chardonnay (Recas),Chardonnay,Cramele Recas
307,France,Roger Voss,"Rich and full in the mouth, packed with red fruits and black cherries. The wine is sweet, while keeping a tannic core. Drink next year.",Les Dames Huguettes,87,30,Burgundy,Côte de Nuits-Villages,,@vossroger,Domaine Bertagna 2009 Les Dames Huguettes  (Côte de Nuits-Villages),Pinot Noir,Domaine Bertagna
308,Greece,Susan Kostrzewa,"This fuller-bodied white blend offers pineapple, kiwi and citrus on the nose, and a blend of full fruit and acidity on the palate. A balanced, easygoing white that is perfect for everyday poultry, vegetable and fish meals.",Asirtiko Athiri,87,18,Santorini,,,@suskostrzewa,Domaine Sigalas 2010 Asirtiko Athiri White (Santorini),White Blend,Domaine Sigalas
311,New Zealand,Joe Czerwinski,"This wine is light in color, but still packs a mouthful of flavor. It's peppery and meaty upfront, filled out on the midpalate by tart fruit that verges on cranberry in flavor. Pretty rather than potent; drink now-2014.",,87,18,Hawke's Bay,,,@JoeCz,Otto's Constant Dream 2008 Syrah (Hawke's Bay),Syrah,Otto's Constant Dream
316,France,Roger Voss,"An intriguing blend of Sauvignon Blanc and Muscadelle, which highlights the herbaceous Sauvignon character and a more perfumed Muscadelle. The two give a fresh, citrus- and pineapple-flavored wine, lively, to be enjoyed young.",Les Amants Mont-Pérat,86,,Bordeaux,Bordeaux Blanc,,@vossroger,Château Mont-Pérat 2008 Les Amants Mont-Pérat  (Bordeaux Blanc),Bordeaux-style White Blend,Château Mont-Pérat
317,France,Roger Voss,"Soft, ripe, dominated by peaches, pears and a rounded, toasty character. The spice is dominant, giving the wine an exotic edge. The more rounded style gives concentration as well as a fine, finishing velvet texture.",,86,,Bordeaux,Bordeaux Blanc,,@vossroger,Château Tour de Mirambeau 2006  Bordeaux Blanc,Bordeaux-style White Blend,Château Tour de Mirambeau
318,Chile,Michael Schachner,"Fiery and wild at first, with aromas of cinnamon, pepper and Juicy Fruit gum. Strange as that may sound, the wine finds a more familiar place on the palate, where plum, cherry and cassis flavors are flashy and the feel is a bit clangy. Rounds out with air and settles down fairly nicely.",Reserva,86,18,Curicó Valley,,,@wineschach,Aresti 2007 Reserva Merlot (Curicó Valley),Merlot,Aresti
323,Chile,Michael Schachner,"Mildly minty and woody on the nose, with grass, wintergreen and cheese aromas as well as red fruit. The palate is tight and grabby, with a blast of citric acid that gives the plum and raspberry flavors a tart, decidedly “red” personality. Snappy and crisp on the finish, making it a fresh, lean style of Cabernet.",Gran Araucano,86,35,Colchagua Valley,,,@wineschach,J. & F. Lurton 2006 Gran Araucano Cabernet Sauvignon (Colchagua Valley),Cabernet Sauvignon,J. & F. Lurton
334,France,Roger Voss,"A ripe, fruity wine that takes its raspberry flavor from the color. The wine has softness, a creamy character that rounds out any acidity, leaving a smooth, fruity finish.",Mosaïque Rosé Brut,86,42,Champagne,Champagne,,@vossroger,Jacquart NV Mosaïque Rosé Brut  (Champagne),Champagne Blend,Jacquart
336,Chile,Michael Schachner,"Gritty, heavily roasted aromas of peanuts and herbal berry fruits lead to a scratchy, tannic palate. This tastes of burnt oak, raw plum and currant, while the finish tastes briny and harsh. The 2012 version of this wine was much better. This is rough from front to back.",Costa,83,35,Colchagua Costa,,,@wineschach,Koyle 2015 Costa Pinot Noir (Colchagua Costa),Pinot Noir,Koyle
337,France,Lauren Buzzeo,"An easy and inviting selection, there's a mentholated streak to the soft red currant and cherry core of this wine. Light and breezy on the palate, it offers thin, quickly dissipating flavors and a fleeting finish.",,83,16,Languedoc-Roussillon,Languedoc,,@laurbuzz,Château Notre Dame du Quatourze 2015 Rosé (Languedoc),Rosé,Château Notre Dame du Quatourze
338,France,Roger Voss,The wine is earthy and somewhat rustic. There is fruit but it is spoiled by a spicy pepper edge. Chill this drastically.,,82,11,Provence,Coteaux Varois en Provence,,@vossroger,Mémoires 2015 Rosé (Coteaux Varois en Provence),Rosé,Mémoires
339,Spain,Michael Schachner,"Red in color, with berry and apple aromas, this is sweet, with a heavy body and light effervescence.",1887 Rosado,82,13,Catalonia,Cava,,@wineschach,Cavas Hill NV 1887 Rosado Sparkling (Cava),Sparkling Blend,Cavas Hill
340,France,Anne Krebiehl MW,"The nose is muted, despite the slight spritz of the wine, while the palate is equally toned down. It's a rounded if not very expressive white wine.",Tradition,82,18,Alsace,Alsace,,@AnneInVino,Antoine Moltès & Fils 2015 Tradition Pinot Gris (Alsace),Pinot Gris,Antoine Moltès & Fils
341,US,Virginie Boone,"Plummy and hinting at black cherry, this wine is otherwise soft and simple, with a distracting, full-throttled descent into raisin cake and prune.",Serracino Reserve,82,48,California,Dry Creek Valley,Sonoma,@vboone,Pezzi King 2013 Serracino Reserve Zinfandel (Dry Creek Valley),Zinfandel,Pezzi King
342,Spain,Michael Schachner,"Funky, yeasty aromas of cinnamon, spent lees and bread yeast dominate the nose. This feels foamy, with lightly vegetal flavors of apple that finish briny.",,82,11,Catalonia,Cava,,@wineschach,Bellisco NV Sparkling (Cava),Sparkling Blend,Bellisco
343,Chile,Michael Schachner,"Jumpy on the nose at first, but then green tea and grassy aromas take over. This PN is what it is: it tastes grassy, leafy and like green beans. Vegetal notes carry over to the finish.",Grand Reserve,81,20,Rapel Valley,,,@wineschach,Pura 8 2010 Grand Reserve Pinot Noir (Rapel Valley),Pinot Noir,Pura 8
344,Chile,Michael Schachner,"Aromas of pumpkin, squash and corn chips are stale and not inviting. There's an acceptable mouthfeel to this weird, unbalanced Chardonnay along with flavors of spiced squash, mealy apple and sautéed root vegetables.",Gran Reserva,80,19,Leyda Valley,,,@wineschach,Viña Tarapacá 2015 Gran Reserva Chardonnay (Leyda Valley),Chardonnay,Viña Tarapacá
345,Australia,Joe Czerwinski,"This wine contains some material over 100 years old, but shows no signs of fragility. Instead, it's concentrated through age and should hold in the bottle indefinitely. It's dark coffee-brown in color, with delectable aromas of rancio, dried fig, molasses and black tea, yet despite enormous concentration avoids excessive weight. And it's amazingly complex and fresh on the nearly endless finish.",Rare,100,350,Victoria,Rutherglen,,@JoeCz,Chambers Rosewood Vineyards NV Rare Muscat (Rutherglen),Muscat,Chambers Rosewood Vineyards
346,Australia,Joe Czerwinski,"This deep brown wine smells like a damp, mossy cave. Then add complex rancio notes, plus maple syrup and molasses. It's full, round and harmonious, wonderfully rich yet without any sense of heaviness and long and bright on the finish.",Rare,98,350,Victoria,Rutherglen,,@JoeCz,Chambers Rosewood Vineyards NV Rare Muscadelle (Rutherglen),Muscadelle,Chambers Rosewood Vineyards
347,Germany,Anna Lee C. Iijima,"Dusty, saffron-spiced earthiness is juxtaposed against intense mango and tangerine fruitiness in this deeply complex wine. It's unctuously sweet, but balanced by a piercing streak of acidity that penetrates through the midpalate. Spry and silken, it finishes on a long lingering whisper of honey and peach.",Kiedrich Gräfenberg Trockenbeerenauslese,97,775,Rheingau,,,,Robert Weil 2014 Kiedrich Gräfenberg Trockenbeerenauslese Riesling (Rheingau),Riesling,Robert Weil
348,Australia,Joe Czerwinski,"Deep mahogany. Dried fig and black tea on the nose, then concentrated mocha and molasses flavors, enlivened by candied orange zest. Full, rich and sweet, but surprisingly drinkable, with terrific intensity and length.",Grand,97,100,Victoria,Rutherglen,,@JoeCz,Chambers Rosewood Vineyards NV Grand Muscat (Rutherglen),Muscat,Chambers Rosewood Vineyards
349,Australia,Joe Czerwinski,"RunRig is always complex, and the 2012 doesn't disappoint in that regard, mixing bacony-meaty notes with hints of black olives and ripe plums. The tannins are supremely supple, but the acids are crisp, resulting in a long, mouthwatering finish. Drink now–2030.",RunRig,97,225,South Australia,Barossa,,@JoeCz,Torbreck 2012 RunRig Shiraz-Viognier (Barossa),Shiraz-Viognier,Torbreck
350,Italy,Kerin O’Keefe,"After a few minutes in the glass, this stunning wine opens up to reveal classic Nebbiolo aromas of leather, tilled soil, underbrush, fragrant blue flower and ripe berry. The juicy concentrated palate dishes out layers of succulent black cherry, crushed raspberry, anise and pipe tobacco framed in firm, velvety tannins. Drink 2022–2035.",Vignolo Riserva,97,150,Piedmont,Barolo,,@kerinokeefe,Cavallotto 2010 Vignolo Riserva  (Barolo),Nebbiolo,Cavallotto
351,Hungary,Jeff Jenssen,"This amber-colored Hungarian stunner has ethereal aromas of raw honey, beeswax, freshly baked tarte Tatin, canned apricot and fresh pear. It is silky smooth and creamy in the mouth with pronounced flavors of clover honey, pear tart and baked sweet apples. The acidity is perfectly balanced so you can appreciate its velvety richness without feeling that the sweetness is too cloying.",Eszencia,96,320,Tokaji,,,@worldwineguys,Oremus 2005 Eszencia  (Tokaji),Furmint,Oremus
352,US,Virginie Boone,"Citrus-kissed saltiness lies at the core of this incredibly delicious, deliriously crafted wine, from the great grape grower in the heart of the Russian River Valley. Beautifully crisp, it lingers in stony minerality and a freshness of apricot, memorable from first sip to last.",South River,96,68,California,Russian River Valley,Sonoma,@vboone,Rochioli 2014 South River Chardonnay (Russian River Valley),Chardonnay,Rochioli
353,France,Roger Voss,"This beautiful, rich wine has yellow fruits and is concentrated, tightly textured and conveys a ripe character. The touches of wood are just right, adding spice to the opulent fruitiness. A mineral texture gives some tightness to the aftertaste. Drink from 2024.",Le Montrachet,96,630,Burgundy,Montrachet,,@vossroger,Louis Latour 2014 Le Montrachet  (Montrachet),Chardonnay,Louis Latour
354,Germany,Anna Lee C. Iijima,"Whiffs of white mushroom, saffron and caramel lend complexity to this concentrated elixir of apricots and orange peels. It's honeyed and sweet but vivaciously balanced, glazing the palate in ethereal textures of gossamer and tulle. The caramel finish lingers endlessly.",Kiedrich Gräfenberg Beerenauslese,96,365,Rheingau,,,,Robert Weil 2014 Kiedrich Gräfenberg Beerenauslese Riesling (Rheingau),Riesling,Robert Weil
355,US,Virginie Boone,"A waft of smoky char and toasty oak provide a rich foundation and compelling entry into this one-acre vineyard-designate from the historic grower, before unleashing, slowly, a torrent of melon and fresh-cut apple with a length of intriguing nutmeg and cardamom. Medium-bodied and lush, it will remain on your palate memory a long time.",Sweetwater,96,68,California,Russian River Valley,Sonoma,@vboone,Rochioli 2014 Sweetwater Chardonnay (Russian River Valley),Chardonnay,Rochioli
356,Australia,Joe Czerwinski,"Dusty, firm, powerful: just a few apt descriptors for this vintage of one of Heathcote's top wines. Mocha, licorice and blackberries feature on the nose, while the palate delivers more of the same—dark fruit, chocolate and plenty of spice. Best after 2020.",Georgia's Paddock,95,85,Victoria,Heathcote,,@JoeCz,Jasper Hill 2013 Georgia's Paddock Shiraz (Heathcote),Shiraz,Jasper Hill
357,France,Roger Voss,"Produced from vines more than 100 years old in the heart of the Clos de Vougeot vineyard, this is an impressive wine with a long future. The wood aging is already surrounded by ripe, intense black fruits. A fresher character comes from the bright acidity of the vintage, giving the wine a lift. The aftertaste is long and concentrated. Drink from 2024.",Vieilles Vignes,95,350,Burgundy,Clos de Vougeot,,@vossroger,Château de la Tour 2013 Vieilles Vignes  (Clos de Vougeot),Pinot Noir,Château de la Tour
358,Germany,Anna Lee C. Iijima,"Intensely fragrant, this honey-sweet auslese wafts of ripe yellow peaches and caramelized sugar. Tropical mango, pineapple and melon collide on the palate before falling neatly in line against a strike of high-toned acidity. The finish is luxuriously long, peppered by a faint dusting of saffron. It's a stunner already but should shine brightly for decades to come.",Hattenheimer Hassel Auslese,95,66,Rheingau,,,,Weingut Hans Bausch 2011 Hattenheimer Hassel Auslese Riesling (Rheingau),Riesling,Weingut Hans Bausch
359,France,Roger Voss,"Up the slope above the Grand Cru of Le Montrachet, this vineyard once grew hemp (hence the name, cheneve). This poised wine is both stylish and rich, with good acidity allied to ripe apple and citrus fruits, cut through the mineral texture and promise a generous wine as it ages. Drink from 2020.",Les Chenevottes Premier Cru,95,110,Burgundy,Chassagne-Montrachet,,@vossroger,Philippe Colin 2014 Les Chenevottes Premier Cru  (Chassagne-Montrachet),Chardonnay,Philippe Colin
360,Australia,Joe Czerwinski,"Bacon and tapenade elements merge easily on the nose, followed by a wine that's full bodied and creamy textured on the palate. This is dark and meaty in profile, yet not heavy or cooked, with a long, harmonious finish. Drink now–2030.",Descendant,95,125,South Australia,Barossa Valley,,@JoeCz,Torbreck 2012 Descendant Shiraz-Viognier (Barossa Valley),Shiraz-Viognier,Torbreck
361,Italy,Kerin O’Keefe,"Enticing scents of ripe berry, underbrush, grilled herb and eucalyptus mingle together along with an underlying fragrance of rose petal. Elegant and fresh, the impeccably balanced palate delivers tart red cherry, cake spice, white pepper and mineral nuances alongside polished tannins. Drink 2018–2028.",Simposio,95,60,Piedmont,Barolo,,@kerinokeefe,Bel Colle 2012 Simposio  (Barolo),Nebbiolo,Bel Colle
362,US,Virginie Boone,"As impressive as the woman—a pioneer in the Napa Valley—was herself, this 100% varietal wine from the estate property high atop Diamond Mountain is powerfully elegant, intense yet refined. It begins with a high-toned, graceful entry that's rich in blueberry and chocolate, the oak smooth and integrated, with a suggestion of hand-rolled tobacco. Drink now through 2022.",Jamie,95,200,California,Diamond Mountain District,Napa,@vboone,J. Davies 2012 Jamie Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,J. Davies
